preco,area_m2,quartos,banheiros,vagas,localizacao,imovel
375000.0,180,3.0,1.0,2.0,"Jardim Paulistano (Vila Xavier), Araraquara",Casa
580000.0,148,3.0,3.0,3.0,"Jardim do Carmo, Araraquara",comercial
390000.0,81,3.0,2.0,2.0,"Vila Melhado, Araraquara",Apartamento
500000.0,160,3.0,3.0,2.0,"Jardim Maria Luiza V, Araraquara",Casa
380000.0,139,2.0,1.0,2.0,"Vila Tito de Carvalho (Vila Xavier), Araraquara",Casa
292000.0,135,2.0,2.0,1.0,"Jardim Brasil (Vila Xavier), Araraquara",Casa
424000.0,164,2.0,2.0,2.0,"Jardim Aclimação, Araraquara",Casa
320000.0,169,2.0,1.0,1.0,"Jardim América (Vila Xavier), Araraquara",comercial
170000.0,49,2.0,1.0,1.0,"Jardim Residencial Elvio Lupo, Araraquara",Apartamento
170000.0,43,2.0,1.0,1.0,"Jardim Residencial Paraíso, Araraquara",Apartamento
107000.0,51,2.0,1.0,1.0,"Vila Biagioni (Vila Xavier), Araraquara",Apartamento
249900.0,49,2.0,1.0,1.0,"Jardim do Bosque, Araraquara",Apartamento
140000.0,39,2.0,1.0,1.0,"Parque Residencial Iguatemi, Araraquara",Apartamento
150000.0,43,2.0,1.0,1.0,"Jardim Residencial Paraíso, Araraquara",Apartamento
260000.0,49,2.0,1.0,1.0,"Vila Harmonia, Araraquara",Apartamento
180000.0,136,1.0,1.0,2.0,"Jardim Adalberto Frederico de Oliveira Roxo I, Araraquara",comercial
200000.0,47,2.0,1.0,1.0,"Jardim Residencial Paraíso, Araraquara",Apartamento
180000.0,39,2.0,1.0,1.0,"Jardim Brasília (Vila Xavier), Araraquara",Apartamento
502000.0,62,2.0,2.0,2.0,"Centro, Araraquara",Apartamento
280000.0,95,3.0,1.0,1.0,"Centro, Araraquara",comercial
585000.0,157,3.0,2.0,2.0,"Centro, Araraquara",comercial
490000.0,201,3.0,2.0,2.0,"Jardim do Carmo, Araraquara",Casa
150000.0,55,2.0,1.0,1.0,"Parque Residencial Iguatemi, Araraquara",Apartamento
785000.0,278,5.0,3.0,2.0,"Centro, Araraquara",Casa
450000.0,203,3.0,3.0,3.0,"Jardim das Estações (Vila Xavier), Araraquara",Casa
160000.0,49,2.0,1.0,1.0,"Doutor Tancredo de Almeida Neves, Araraquara",Apartamento
155000.0,50,2.0,1.0,1.0,"Campos Ville, Araraquara",Apartamento
155000.0,45,2.0,1.0,1.0,"Jardim Residencial Elvio Lupo, Araraquara",Apartamento
480000.0,62,2.0,2.0,1.0,"Jardim dos Manacás, Araraquara",Apartamento
260000.0,93,2.0,1.0,1.0,"Centro, Araraquara",comercial
175000.0,45,2.0,1.0,1.0,"Jardim América (Vila Xavier), Araraquara",Apartamento
170000.0,47,2.0,1.0,1.0,"Jardim Residencial Paraíso, Araraquara",Apartamento
395000.0,154,2.0,1.0,2.0,"Parque Igaçaba, Araraquara",Casa
250000.0,112,2.0,2.0,1.0,"Jardim Cruzeiro do Sul I e II, Araraquara",Casa
230000.0,133,1.0,1.0,2.0,"Centro, Araraquara",comercial
180000.0,48,2.0,1.0,1.0,"Jardim Universal, Araraquara",Apartamento
330000.0,138,3.0,2.0,2.0,"Jardim Roberto Selmi Dei, Araraquara",comercial
159000.0,50,2.0,1.0,1.0,"Jardim Residencial Paraíso, Araraquara",Apartamento
360000.0,78,2.0,3.0,1.0,"Vila Furlan, Araraquara",Apartamento
315000.0,50,2.0,1.0,1.0,"Jardim Magnólias, Araraquara",Apartamento
420000.0,224,3.0,2.0,3.0,"Vila Xavier (Vila Xavier), Araraquara",comercial
175000.0,57,2.0,1.0,1.0,"Jardim Residencial Paraíso, Araraquara",Apartamento
335000.0,78,2.0,2.0,1.0,"Vila Furlan, Araraquara",Apartamento
170000.0,55,2.0,1.0,1.0,"Solidariedade, Araraquara",Apartamento
86063.0,39,2.0,1.0,1.0,"Jardim Quitandinha II, Araraquara",Apartamento
450000.0,201,2.0,4.0,3.0,"Jardim São Gabriel, Araraquara",comercial
145000.0,61,2.0,1.0,1.0,"Vila Esperança (Vila Xavier), Araraquara",Apartamento
500000.0,265,3.0,2.0,2.0,"Jardim Ártico, Araraquara",comercial
158000.0,50,2.0,1.0,1.0,"Vila Renata (Vila Xavier), Araraquara",Apartamento
200000.0,48,2.0,1.0,1.0,"Campos Ville, Araraquara",Apartamento
158000.0,50,2.0,1.0,1.0,"Vila Renata (Vila Xavier), Araraquara",Apartamento
200000.0,48,2.0,1.0,1.0,"Campos Ville, Araraquara",Apartamento
160000.0,53,2.0,1.0,1.0,"Solidariedade, Araraquara",Apartamento
495000.0,212,3.0,2.0,2.0,"Centro, Araraquara",Casa
140000.0,55,2.0,1.0,1.0,"Jardim América (Vila Xavier), Araraquara",Apartamento
300000.0,63,2.0,1.0,1.0,"Jardim dos Manacás, Araraquara",Apartamento
450000.0,170,4.0,2.0,2.0,"Centro, Araraquara",Casa
250000.0,50,2.0,1.0,1.0,"Estrela e Kanashiro, Araraquara",Apartamento
120000.0,47,2.0,1.0,1.0,"Jardim das Estações (Vila Xavier), Araraquara",Apartamento
140000.0,61,2.0,1.0,1.0,"Jardim Europa (Vila Xavier), Araraquara",Apartamento
320000.0,51,2.0,1.0,1.0,"Jardim Magnólias, Araraquara",Apartamento
190000.0,44,2.0,1.0,1.0,"Altos do Jaraguá, Araraquara",Apartamento
680000.0,144,3.0,2.0,10.0,"Campos Ville, Araraquara",comercial
170000.0,49,2.0,1.0,1.0,"Jardim Residencial Paraíso, Araraquara",Apartamento
300000.0,160,2.0,1.0,2.0,"Parque Residencial Iguatemi, Araraquara",comercial
160000.0,47,2.0,1.0,1.0,"Jardim Quitandinha, Araraquara",Apartamento
170000.0,43,2.0,1.0,1.0,"Solidariedade, Araraquara",Apartamento
220000.0,69,2.0,1.0,2.0,"Jardim dos Oitis, Araraquara",Casa
170000.0,56,2.0,1.0,1.0,"Jardim Residencial Paraíso, Araraquara",Apartamento
150000.0,44,2.0,1.0,1.0,"Jardim Residencial Elvio Lupo, Araraquara",Apartamento
150000.0,44,2.0,1.0,1.0,"Jardim Residencial Elvio Lupo, Araraquara",Apartamento
640000.0,227,3.0,2.0,5.0,"Vila Harmonia, Araraquara",comercial
450000.0,172,3.0,1.0,2.0,"Jardim Santa Júlia (Vila Xavier), Araraquara",Casa
315000.0,173,3.0,1.0,3.0,"Centro, Araraquara",comercial
475000.0,208,3.0,1.0,4.0,"Vila Xavier (Vila Xavier), Araraquara",comercial
165000.0,45,2.0,1.0,1.0,"Parque Laranjeiras, Araraquara",Apartamento
320000.0,53,2.0,1.0,1.0,"Vila Velosa, Araraquara",Apartamento
160000.0,40,2.0,1.0,1.0,"Jardim Brasília (Vila Xavier), Araraquara",Apartamento
170000.0,43,2.0,1.0,1.0,"Jardim Residencial Paraíso, Araraquara",Apartamento
297000.0,149,2.0,2.0,2.0,"Jardim do Carmo, Araraquara",comercial
455000.0,62,2.0,2.0,1.0,"Jardim dos Manacás, Araraquara",Apartamento
175000.0,52,2.0,1.0,1.0,"Jardim América (Vila Xavier), Araraquara",Apartamento
145000.0,43,2.0,1.0,1.0,"Solidariedade, Araraquara",Apartamento
400000.0,204,3.0,1.0,2.0,"Parque Alvorada, Araraquara",Casa
170000.0,44,2.0,1.0,1.0,"Vila Xavier (Vila Xavier), Araraquara",Apartamento
